ids,artists,mediums,titles,descriptions,urls
eng_1,Francis Bacon,Oil on canvas,Figure with Meat,"Permeated by anguished visions of humanity, Francis Bacon’s paintings embody the existential ethos of the postwar era. In his powerful, nihilistic works, tormented and deformed figures become players in dark, unresolved dramas. Bacon often referred in his paintings to the history of art, interpreting borrowed images through his own bleak mentality. Figure with Meat is part of a now-famous series he devoted to Diego Velázquez’s Portrait of Pope Innocent X (c. 1650; Galleria Doria-Pamphilj, Rome). Here he transformed the Spanish Baroque artist’s iconic portrayal of papal authority into a nightmarish image, in which the blurred figure of the pope, seen as if through a veil, seems trapped in a glass-box torture chamber, his mouth open in a silent scream. Instead of the noble drapery that frames Velázquez’s pope, Bacon is flanked by two sides of beef, quoting the work of seventeenth-century Dutch artist Rembrandt van Rijn and twentieth-century Russian artist Chaim Soutine, both of whom painted brutal and haunting images of raw meat. Framed by the carcass, Bacon’s pope can be seen alternately as a depraved butcher, or as much a victim as the slaughtered animal hanging behind him.",https://www.artic.edu/artworks/4884/figure-with-meat
eng_2,David Hockney,Acrylic on canvas,American Collectors (Fred and Marcia Weisman),"One of England’s most versatile and inventive artists of the postwar era, the painter, printmaker, set designer, and photographer David Hockney settled in Los Angeles in 1964. His work since then has often reflected, with wit and incision, the sun-washed flatness of the Southern California environment. Perhaps the most iconic example from a group of double portraits of friends and associates from the 1960s, this large painting depicts contemporary-art collectors Fred and Marcia Weisman in the sculpture garden of their Los Angeles home. As Hockney said, “The portrait wasn’t just in the faces, it was in the whole setting.” As relentlessly stiff and still as the objects surrounding them, the couple stands apart, his stance echoed in the totem pole to the right, hers in the figurative sculpture behind her. Mrs. Weisman’s distorted mouth also mirrors that of the totem pole. Mr. Weisman’s shadow falls possessively over the abstract sculpture at his feet. His hand is clenched so tightly it seems as if he were squeezing paint out of his fist (Hockney deliberately left the drips). Brilliant, raking light flattens and abstracts the scene. This pervasive aridity is reinforced by the segregation of living, green foliage, including the lonely potted tree, to the edges of the painting. Unsurprisingly, the Weismans did not favor Hockney’s harsh portrayal and did not keep the painting.",https://www.artic.edu/artworks/102234/american-collectors-fred-and-marcia-weisman
eng_3,Joseph Mallord William Turner,Oil on canvas,Fishing Boats with Hucksters Bargaining for Fish,"In this massive painting, celebrated British landscape artist Joseph Mallord William Turner pursued a theme of longstanding interest to him: the sea. On the left, a large fishing vessel engages in business with a huckster, or peddler, who stands in a small boat in the shadows to the right, gesturing with a raised arm. Both the subject and low horizon draw on the tradition of 17th-century Dutch marine painting, but the work also reflects Turner’s growing interest in dramatic effects of atmosphere and light. In the distance, the artist included a steam-driven vessel trailing a plume of dark smoke, which alludes to the arrival of a new, modern era at sea.",https://www.artic.edu/artworks/4796/fishing-boats-with-hucksters-bargaining-for-fish
eng_4,Dante Gabriel Rossetti,Oil on canvas,Beata Beatrix,"Both a poet and a painter, Dante Gabriel Rossetti was a founder of the Pre-Raphaelite Brotherhood, a circle of Victorian artists who were united in their regard for medieval aesthetics. Named after the thirteenth-century poet Dante Alighieri, Rossetti found inspiration for Beata Beatrix in his namesake’s La vita nuova (The New Life; 1295). Rossetti’s scene draws a parallel between Dante’s love for the late Beatrice and his own affection for his recently deceased wife and muse, Elizabeth Siddal. While this picture is a tribute to Siddal, Rossetti was adamant that it does not represent her death. Rather, the work portrays her as if in a trance or altered spiritual state.Rossetti’s symbolism combines details from his personal life with those from La Vita Nuova. “The Dove” was the artist’s nickname for Siddal, and a haloed dove delivers her a white poppy, a symbol of laudanum—a derivative of opium—which caused her death by overdose. Above rises the Ponte Vecchio, the Florentine bridge that served as the setting of Dante’s poem. To the upper left is the personification of Love and to the right the figure of Dante, who doubles as a representation of Rossetti himself. The sundial shadows the number nine, the age Dante first saw Beatrice as well as the hour and day of her death. Rossetti designed the frame, and at the top right he inscribed, “How doth the city sit solitary.” This quote from La Vita Nuova refers to the city of Florence’s mourning of Beatrice.Given the deeply personal nature of the work, Rossetti initially refused his patron William Graham’s request to create a replica, although he eventually yielded. The Art Institute’s painting is this second version, which is the only one to have a predella—the painted scene at the bottom of the frame—depicting Beatrice and Dante’s reunion in paradise. With this addition, Rossetti provides the medieval love story with a happy conclusion, perhaps suggesting that he, too, had begun to come to terms with his own profound grief.",https://www.artic.edu/artworks/16551/beata-beatrix
eng_5,Steve McQueen,"Caribs' Leap: 8mm and 35mm color film, sound, transferred to two-channel digital color video (projection), 28:53 min. loop, and 12:06 min. loop, edition number two of four; Western Deep: 8mm color film, sound, transferred to digital video (projection), 24:12 min. loop; edition number two of four",Caribs’ Leap/Western Deep,"British artist Steve McQueen’s projected video and film installations are rich in cinematic tradition and compelling in content. His earliest works—black-and-white silent films—are indebted to 1960s structural filmmaking, wherein the mechanics of shooting and projection become essential components of the film’s subject. His more recent work explores the relation between the medium and the spectator. At once confrontational and seductive, these colossally scaled works transform a purely visual experience into a visceral event. Presented as a single installation, Caribs’ Leap and Western Deep are linked by the theme of descent. The dual-screen projection Caribs’ Leap juxtaposes luminous scenes of the beachfront on the island of Grenada—the birthplace of McQueen’s parents—with irregular images of tiny figures falling through a vast sky. The latter pay homage to the island’s indigenous Caribs, who in 1651 leapt to their death rather than surrender to the invading French. In Western Deep, the viewer takes a nightmarish journey into the hot, noisy depths of a South African goldmine. Presented and considered together, these two films suggestively liken modern mining conditions to a historical act of genocide.",https://www.artic.edu/artworks/181091/caribs-leap-western-deep
eng_6,John Constable,Oil on canvas,Stoke-by-Nayland,"John Constable produced this full-size oil sketch near the end of his life, for an unrealized painting. It depicts the artist’s favored subject matter: the countryside of his youth in Suffolk, England. He wrote to a friend of this work: “What say you to a summer morning? July or August, at eight or nine o’clock, after a slight shower during the night.” To achieve the effect of sparkling wetness and the freshness of earth and air, Constable painted as much with a palette knife as with a brush, flecking the surface with white highlights as he sketched and scraped the picture into existence.",https://www.artic.edu/artworks/4758/stoke-by-nayland
eng_7,Sir Joshua Reynolds,Oil on canvas,Lady Sarah Bunbury Sacrificing to the Graces,"Dressed in Classically inspired robes, Lady Sarah Bunbury pours a libation of oil as an offering to the Three Graces, positioned behind her. Her soon-to-be husband, Charles Bunbury, commissioned this marriage portrait, making her association with the Graces—symbols of fertility and attendants to the Roman goddess of love, Venus—all the more appropriate.The first president of the Royal Academy in London, Sir Joshua Reynolds urged his fellow artists to paint historical and edifying subjects based on the art of antiquity and the Renaissance. As a portrait painter, he developed a grand style that ennobled the genre by giving his sitters Classical attributes and poses.",https://www.artic.edu/artworks/4788/lady-sarah-bunbury-sacrificing-to-the-graces
eng_8,John Singleton Copley,Oil on canvas,Mrs. Daniel Hubbard (Mary Greene),"John Singleton Copley was largely self-taught, his only formal training from his stepfather Peter Pelham, an English artist who specialized in mezzotint engraving. He nonetheless garnered considerable success as a portrait painter before the Revolutionary War. The sitter here, Mary Greene Hubbard, was a member of Boston’s merchant class (Copley’s portrait of her husband, Daniel Hubbard [1947.27], is also in the Art Institute collection). Her pose, gown, and background were precisely copied from a British engraving of a noblewoman, yet Copley distinguished the work as his own by capturing the figure’s individual features as well as the surfaces and colors of the luxurious fabrics. A decade later, he left colonial Massachusetts for England to further his career and simultaneously escape the strong political divides among family, friends, and patrons amid the impending Revolution.",https://www.artic.edu/artworks/59787/mrs-daniel-hubbard-mary-greene
eng_9,Leonora Carrington,Graphite and casein on panel,Juan Soriano De Lacandón,"In 1964 the artist Leonora Carrington painted this imaginative portrait of her friend, the self-taught artist Juan Soriano. A member of Surrealist circles in Paris and New York City during the 1930s and 1940s, Carrington settled in Mexico in 1942 after the trauma of fleeing war-torn Europe. Mexico occupied an important place in the imagination of many European artists—André Breton called it the “Surrealist place par excellence”—and for Carrington the country came to be a source of inspiration and wonder.Juan Soriano De Lacandón was one of the first paintings in which Carrington combined her Surrealist-inspired dreamscapes with Mexico’s history, culture, and ancient practices. Inspired by her study of the indigenous Lacandón people for a 1963 mural commission, The Magical World of the Maya (Museo de Antropología e Historia, Mexico City), the artist portrayed Soriano surrounded by the flora and fauna of ancient Mayan mythology. Bearing the scarification marks of a shaman, he holds in his hand a small jaguar, admired by the Maya as a spiritually powerful creature and a conduit to the underworld. According to native belief, the shaman alone was privileged to assume the form of the jaguar. This notion of animal incarnation may have resonated with Carrington, who adopted the horse as a type of alter ego in her earlier work. In presenting Soriano as a revered holy man, the artist demonstrated her deep admiration for her subject. Her use of precolonial symbolism also suggests her assimilation into the world of her adopted homeland, where she remained until her death.",https://www.artic.edu/artworks/118661/juan-soriano-de-lacandon
eng_10,Edward William Godwin (Designer),Ebonized mahogany with glass and silvered brass,Sideboard,"Celebrated as the “poet of architects and architect of all the arts,” Edward William Godwin was a man of many accomplishments. In a career that spanned more than thirty-five years, he was an architect of civic, domestic, and ecclesiastical buildings; an innovative interior decorator and designer of furniture, textiles, and theater sets; and an articulate critic of art and architecture. Godwin first designed his ebonized sideboard, of which this is a variant model, for his own dining room in 1867, and he subsequently reconsidered the form over the next two decades. In its appearance, the sideboard represents a turning away from the weight of contemporary Gothic Revival aesthetics and a move toward a reductionist sensibility expressed through the balance of solids and voids. This spare style gained Godwin some notable contemporary clients, among them James McNeill Whistler and Oscar Wilde. In his 1904 study The English House, the influential German critic Hermann Muthesius wrote that Godwin’s furniture, including this sideboard, foreshadowed the more modern look that emerged at the turn of the twentieth century. While calling Godwin’s creations “wildly picturesque,” Muthesius concluded that the overall effect was “one of elegance.”",https://www.artic.edu/artworks/186047/sideboard
