ids,artists,mediums,titles,descriptions,urls
Fra_1,Georges Seurat,Oil on canvas,A Sunday on La Grande Jatte — 1884,"In his best-known and largest painting, Georges Seurat depicted people from different social classes strolling and relaxing in a park just west of Paris on La Grande Jatte, an island in the Seine River. Although he took his subject from modern life, Seurat sought to evoke the sense of timelessness associated with ancient art, especially Egyptian and Greek sculpture. He once wrote, “I want to make modern people, in their essential traits, move about as they do on those friezes, and place them on canvases organized by harmonies of color.”Seurat painted A Sunday on La Grande Jatte—1884 using pointillism, a highly systematic and scientific technique based on the hypothesis that closely positioned points of pure color mix together in the viewer’s eye. He began work on the canvas in 1884 (and included this date in the title) with a layer of small, horizontal brushstrokes in complementary colors. He next added a series of dots that coalesce into solid and luminous forms when seen from a distance. Sometime before 1889 Seurat added a border of blue, orange, and red dots that provide a visual transition between the painting’s interior and the specially designed white frame, which has been re-created at the Art Institute.",https://www.artic.edu/artworks/27992/a-sunday-on-la-grande-jatte-1884
Fra_2,Henri Matisse,Oil on canvas,Bathers by a River,"Henri Matisse considered Bathers by a River to be one of the five most “pivotal” works of his career, and with good reason: it facilitated the evolution of the artist’s style over the course of nearly a decade. Originally, the work was related to a 1909 commission by the Russian collector Sergei Shchukin, who wanted two large canvases to decorate the staircase of his Moscow home. Matisse proposed three pastoral images, though Shchukin decided to purchase only two works, Dance II and Music (both State Hermitage Museum, Saint Petersburg).Four years later, Matisse returned to this canvas, the rejected third image, altering the idyllic scene and changing the pastel palette to reflect his new interest in Cubism. He reordered the composition, making the figures more columnar, with faceless, ovoid heads. Over the next years, Matisse transformed the background into four vertical bands and turned the formerly blue river into a thick black vertical band. With its restricted palette and severely abstracted forms, Bathers by a River is far removed from Dance II and Music, which convey a graceful lyricism. The sobriety and hint of danger in Bathers by a River may in part reflect the artist’s concerns during the terrible, war-torn period during which he completed it.",https://www.artic.edu/artworks/79307/bathers-by-a-river
Fra_3,Claude Monet,Oil on canvas,Stacks of Wheat (End of Summer),"The monumental stacks that Claude Monet depicted in his series Stacks of Wheat rose fifteen to twenty feet and stood just outside the artist’s farmhouse at Giverny. Through 1890 and 1891, he worked on this series both in the field, painting simultaneously at several easels, and in the studio, refining pictorial harmonies. In May 1891, Monet hung fifteen of these canvases next to each other in one small room in the Galerie Durand-Ruel in Paris. An unprecedented critical and financial success, the exhibition marked a breakthrough in Monet’s career, as well as in the history of French art. In this view, and in nearly all of the autumn views in the series, the conical tops of the stacks break the horizon and push into the sky. But in most of the winter views, which constitute the core of the series, the stacks seem wrapped by bands of hill and field, as if bedded down for the season. For Monet, the stack was a resonant symbol of sustenance and survival. He followed this group with further series depicting poplars, the facade of Rouen Cathedral, and, later, his own garden at Giverny. The Art Institute has the largest group of Monet’s Stacks of Wheat in the world.",https://www.artic.edu/artworks/64818/stacks-of-wheat-end-of-summer
Fra_4,Claude Monet,Oil on canvas,Water Lilies,"“One instant, one aspect of nature contains it all,” said Claude Monet, referring to his late masterpieces, the water landscapes that he produced at his home in Giverny between 1897 and his death in 1926. These works replaced the varied contemporary subjects he had painted from the 1870s through the 1890s with a single, timeless motif—water lilies. The focal point of these paintings was the artist’s beloved ﬂower garden, which featured a water garden and a smaller pond spanned by a Japanese footbridge. In his first water-lily series (1897–99), Monet painted the pond environment, with its plants, bridge, and trees neatly divided by a fixed horizon. Over time, the artist became less and less concerned with conventional pictorial space. By the time he painted Water Lilies, which comes from his third group of these works, he had dispensed with the horizon line altogether. In this spatially ambiguous canvas, the artist looked down, focusing solely on the surface of the pond, with its cluster of vegetation ﬂoating amid the reﬂection of sky and trees. Monet thus created the image of a horizontal surface on a vertical one.",https://www.artic.edu/artworks/16568/water-lilies
Fra_5,Pierre-Auguste Renoir,Oil on canvas,Two Sisters (On the Terrace),"“He loves everything that is joyous, brilliant, and consoling in life,” an anonymous interviewer once wrote about Pierre-Auguste Renoir. This may explain why Two Sisters (On the Terrace) is one of the most popular paintings in the Art Institute. Here Renoir depicted the radiance of lovely young women on a warm and beautiful day. The older girl, wearing the female boater’s blue ﬂannel, is posed in the center of the evocative landscape backdrop of Chatou, a suburban town where the artist spent much of the spring of 1881. She gazes absently beyond her younger companion, who seems, in a charming visual conceit, to have just dashed into the picture. Technically, the painting is a tour de force: Renoir juxtaposed solid, almost life-size figures against a landscape that—like a stage set—seems a realm of pure vision and fantasy. The sewing basket in the left foreground evokes a palette, holding the bright, pure pigments that the artist mixed, diluted, and altered to create the rest of the painting. Although the girls were not actually sisters, Renoir’s dealer showed the work with this title, along with Acrobats at the Cirque Fernando and others, at the seventh Impressionist exhibition, in 1882.",https://www.artic.edu/artworks/14655/two-sisters-on-the-terrace
Fra_6,Mary Cassatt,Oil on canvas,The Child’s Bath,"In this work, Mary Cassatt addressed the theme for which she is best known—women and children—while also experimenting with compositional elements of Japanese art. Cassatt saw a large exhibition of Japanese prints at the École des Beaux-Arts in Paris in 1890, and produced a series of prints influenced by their aesthetics. The Child’s Bath is the culmination of her investigation of a flattened picture plane and decorative patterning. The intimate scene of everyday life also echoes the subject of many Japanese prints. In Cassatt’s painting, the encircling arms and gentle touch of the mother or nurse convey an overall feeling of protection and tenderness.",https://www.artic.edu/artworks/111442/the-child-s-bath
Fra_7,Marc Chagall,Oil on canvas,White Crucifixion,"White Crucifixion is the first in Marc Chagall’s series of compositions that feature Jesus as a Jewish martyr and dramatically call attention to the persecution and suffering of Jews in 1930s Germany at the hands of the National Socialist Party. Chagall stressed Jesus’s religious identity by depicting him and the biblical figures above him in traditional Jewish garments. The surrounding images show the devastation of pogroms, violent attacks against Jewish communities often organized or sanctioned by local governments. Combining the Crucifixion with contemporary events, Chagall’s painting links the martyred Jesus with the Jewish people being persecuted across Europe and implicitly compares the Nazis with Jesus’s tormentors.",https://www.artic.edu/artworks/59426/white-crucifixion
Fra_8,Henri de Toulouse-Lautrec,Oil on canvas,At the Moulin Rouge,"Henri de Toulouse-Lautrec has been associated with the Moulin Rouge since its opening in 1889: the owner of the legendary nightclub bought the artist’s Equestrienne as a decoration for the foyer. Toulouse-Lautrec populated At the Moulin Rouge with portraits of the legendary nightclub’s regulars, including himself—the diminutive figure in the center background—accompanied by his cousin, physician Gabriel Tapié de Céleyran. Dancer La Goulue arranges her hair behind the table where Jane Avril, another famous performer, socializes. Singer May Milton peers out from the right edge of the painting, her face harshly lit and acid green. At some point, the artist or his dealer cut down the canvas to remove Milton, perhaps because her strange appearance made the work hard to sell. Whatever the reason, by 1914 the cut section had been reattached to the painting.",https://www.artic.edu/artworks/61128/at-the-moulin-rouge
Fra_9,Claude Monet,Oil on canvas,"Arrival of the Normandy Train, Gare Saint-Lazare","The Impressionists frequently paid tribute to the modern aspects of Paris. Their paintings abound with scenes of grand boulevards and elegant, new blocks of buildings, as well as achievements of modern construction such as iron bridges, exhibition halls, and train sheds. Arrival of the Normandy Train, Gare Saint-Lazare was an especially appropriate choice of subject for Claude Monet in the 1870s. The terminal, linking Paris and Normandy, where Monet’s technique of painting outdoors had been nurtured in the 1860s, was also the point of departure for towns and villages to the west and north of Paris frequented by the Impressionists. Monet completed eight of his twelve known paintings of the Gare Saint-Lazare in time for the third Impressionist exhibition, in 1877, probably placing them in the same gallery.Monet chose to focus his attention here on the glass-and-iron train shed, where he found an appealing combination of artificial and natural effects: the rising steam of locomotives trapped within the structure, and daylight penetrating the large, glazed sections of the roof. Monet’s depictions of the station inaugurated what was to become for him an established pattern of painting a specific motif repeatedly in order to capture subtle and temporal atmospheric changes. But the series also represented his last attempt to deal with urban realities: from this point on in his career, Monet would be largely a painter of landscapes.",https://www.artic.edu/artworks/16571/arrival-of-the-normandy-train-gare-saint-lazare
Fra_10,Marc Chagall,Stained glass,America Windows,"Marc Chagall made America Windows to celebrate the US Bicentennial and presented them as a gift to the Art Institute of Chicago in 1977. The windows merge symbols of US history, the Chicago skyline, and the arts; read from left to right, the panels represent music, painting, literature, architecture, theater, and dance.Best known as a painter, Chagall had been working in stained glass for several decades by the 1970s. He was drawn to the medium as a way to explore intense color on a monumental scale. Working with stained-glass maker Charles Marq, Chagall executed 86 windows across Europe, Israel, and the United States.",https://www.artic.edu/artworks/109439/america-windows
