ids,artists,mediums,titles,descriptions,urls
itl_1,Bartolomeo Manfredi,Oil on canvas,Cupid Chastised,"Following the example of the revolutionary early seventeenth-century artist Michelangelo Merisi da Caravaggio, Bartolomeo Manfredi chose to depict ordinary individuals in his scenes from the Bible and Greek and Roman mythology. Caravaggio had demonstrated to Manfredi and an entire generation of European artists that such lofty themes could be transformed into events experienced by ordinary people. Employing dramatic lighting and locating the action directly before the viewer, these artists were able to endow their narratives with great immediacy and power.Cupid Chastised depicts a moment of high drama: Mars, the god of war, beats Cupid for having caused his affair with Venus, the goddess of love, which exposed him to the derision and outrage of the other gods. Venus implores him in vain to desist. Surrounded by darkness, the three figures are boldly illuminated from the left, intensifying the dynamism and impact of the composition. The sheer physicality of the figures — the crouching Venus, whose broadly realized face strays from the classical ideal; the powerful Mars, whose musculature and brilliant red drapery seem to pulsate with fury; and Cupid, whose naked flesh and recumbent position render him particularly vulnerable—conveys the violent discord of the scene. On one level a tale of domestic disturbance, the story also symbolizes the eternal conflict between love and war.",https://www.artic.edu/artworks/59847/cupid-chastised
itl_2,Giorgio de Chirico,Oil on canvas,The Philosopher’s Conquest,"The work of Giorgio de Chirico represents an unexpected form of classicism in early avant-garde painting. This canvas, one of six in a series, combines a Mediterranean cityscape with still-life objects. Familiar elements appear in many of de Chirico’s paintings like pieces of a mysterious puzzle: a classical arcade, oddly oversize artichokes, a cannon and cannonballs, a clock, an industrial brick chimney, a monumental tower, a running train, and a square-rigged sailing ship. Here the stage set for this extraordinary juxtaposition of objects is an Italian piazza, virtually deserted except for the menacing shadowy figures outside the edge of the scene.De Chirico represented objects with a matter-of-fact, though intentionally crude, precision. He painted his scenes flatly, in bright colors, and illuminated them with a cold white light. Rendered in this clear style, works like The Philosopher’s Conquest seem rife with meaning, though they remain resolutely enigmatic. Indeed, by juxtaposing incongruous objects, the artist sought to produce a metaphysical quality, what he called “art that in certain aspects resembles … the restlessness of myth.” De Chirico’s works would profoundly affect the Surrealists, who in the 1920s and 1930s attempted to portray dreams and images of the subconscious in their work.",https://www.artic.edu/artworks/30839/the-philosopher-s-conquest
itl_3,Francesco Mochi,"Marble, on variegated black marble socle",Bust of a Youth (Saint John the Baptist?),"One of the most individual sculptors of his age, Francesco Mochi possessed an astoun- ding technical prowess. Although his output was relatively small, Mochi was one of the most original artists to emerge in seventeenth-century Italy. His art is distinguished by energetic lines, dramatic movement, and subtle psychology. Here a taut precision characterizes the youth’s garment, and a carefully composed rhythm governs Mochi’s virtuoso treatment of the corkscrew curls. In contrast to the greater precision of the hair and drapery, the wistful expression of the youth, with his slightly parted lips, endows the sculpture with life. This work may have been conceived as a portrait, but it is more likely a biblical or mythological subject. The almost transcendent expression suggests that the sculpture may represent a religious figure, such as the youthful Saint John the Baptist. Its small scale suggests that the work was intended as an object for private contemplation.",https://www.artic.edu/artworks/73413/bust-of-a-youth-saint-john-the-baptist
itl_4,Antonio da Correggio,Oil on panel,Virgin and Child with the Young Saint John the Baptist,"Correggio spent most of his brief career in the northern Italian city of Parma. Removed from the great centers of Renaissance art, he was able to create a remarkably innovative body of work. This intimate devotional panel is a product of the artist’s youth. Here Correggio revealed his own evolving style while assimilating lessons from other masters. The panel’s pyramidal grouping of figures reﬂects the High Renaissance manner of Raphael, while their soft outlines and the Virgin’s enigmatic smile recall Leonardo da Vinci. The evocative use of the distant landscape demonstrates the young artist’s awareness of Northern European precedents. The gentle sensuousness of the figures and the tenderness they show one another through glance are unique to Correggio. The artist used light, shadow, and color to bathe the panel in a gentle glow; skin and fabrics appear to take on a velvety texture. The expressive, idyllic quality of this painting presages the radiant ceiling frescoes of Correggio’s maturity, especially those in Parma’s Cathedral.",https://www.artic.edu/artworks/23972/virgin-and-child-with-the-young-saint-john-the-baptist
itl_5,Fra Bartolommeo,Oil on panel,The Nativity,"The young Baccio della Porta came under the spell of the charismatic Dominican friar Girolamo Savonarola, joining his monastic order as Fra (Friar) Bartolommeo in 1500 and forsaking his painting career for several years. Returning to painting in 1504, he looked to the most lyrical and harmonious recent works of Leonardo da Vinci, Raphael, and Michelangelo to form his own style, which was characterized by a new, quiet spirituality. The palette of saturated blue, red, and green announces the Holy Family, while the muted tones of the angels’ garments establish an otherworldly presence. Here he treated the Nativity in a traditional, though especially intimate, manner. The Virgin kneels humbly as she gazes at the Christ Child, while Joseph assumes a pose of restrained wonderment, as if suddenly aware of the infant’s divine nature. The family shelters in a rustic stall erected within the ruins of an edifice understood to be the palace of David at Bethlehem. This juxtaposition of architecture symbolizes Christ’s establishment of his new church on the Old Testament order of the Jews. Reinforcing this device is a young tree springing from a remnant of ancient stones directly above the infant.",https://www.artic.edu/artworks/184371/the-nativity
itl_6,Giambattista Tiepolo,Oil on canvas,Armida Encounters the Sleeping Rinaldo,"Giovanni Battista Tiepolo’s monumental ceiling and wall decorations epitomize the brilliant exuberance of the late Baroque style. Tiepolo enjoyed an international career and was called upon to use his mastery of light, color, and illusion to transform palaces and monasteries in his native Venice and elsewhere in Italy, as well as in Germany and Spain. This painting and three others at the Art Institute, together with smaller decorative panels and a ceiling painting, once graced the cabinet of mirrors, a richly decorated room in the Venetian palace of the powerful Cornaro family. The suite illustrates Torquato Tasso’s popular sixteenth-century epic romance Jerusalem Delivered, which is set in the eleventh century, during the First Crusade, when Western knights sought to take Jerusalem from the Muslims. The canvas captures the moment of Rinaldo’s seduction: the beautiful sorceress Armida has just arrived to divert the sleeping hero from his crusade. Accompanied by her attendant nymph and a cupid figure, she appears like a beautiful mirage, enthroned on a billowing cloud, her drapery and shawl wafting gently behind her. Altough Tasso’s story symbolizes the conﬂict between love and duty, Tiepolo’s depiction of a magical, bucolic world—enhanced by effervescent colors, luminous atmosphere, and dense, creamy paint—seems to evoke only love’s enchantment.",https://www.artic.edu/artworks/16488/armida-encounters-the-sleeping-rinaldo
itl_7,Giovanni di Paolo,Tempera on panel,The Beheading of Saint John the Baptist,"This is one of six paintings illustrating scenes from the life of Saint John the Baptist, a prophet considered a forerunner of Jesus. They were originally part of a group of 12 that possibly formed the doors of a reliquary shrine to the saint. The first painting depicts John twice, leaving civilization—marked by ornate buildings and manicured agricultural fields—and entering the wilderness to become a hermit. In the next scene, John wears a hair shirt, symbolizing his ascetic life in the wilderness, as he announces that Jesus, at his right, is the savior prophesied as the agnus dei, the Lamb of God.The following three panels depict John the Baptist’s imprisonment and execution at the hands of Herod, ruler of Galilee. According to one version of the story, Herod—seen in blue at the head of the table in the fourth panel from the left—was so taken by his stepdaughter Salome’s dancing that he reluctantly obliged when she requested John’s beheading (visualized gruesomely in the fifth panel). Giovanni di Paolo related the Baptist’s complex biography with expressive figures represented multiple times to indicate their movement through highly imaginative and stylized settings.",https://www.artic.edu/artworks/16169/the-beheading-of-saint-john-the-baptist
itl_8,Amedeo Modigliani,Oil on canvas,Jacques and Berthe Lipchitz,"After receiving his artistic training in Italy, the sculptor and painter Amedeo Modigliani moved to Paris in 1906. Three years later, he helped pioneer a general migration of artists to the neighborhood of Montparnasse, which remained the center of avant-gard activity in the city until World War II. Scores of artists lived there, and many of them shared a Jewish heritage—including Modigliani and his friend the Lithuanian-born sculptor Jacques Lipchitz.Lipchitz commissioned Modigliani to paint this portrait on the occasion of his marriage to the Russian poet Berthe Kitrosser, as a way of helping his troubled friend financially. The double portrait is one of only three in the artist’s oeuvre and, according to Lipchitz, took two days to paint. Modigliani made about twenty drawings on the first day; the next day, he declared the picture finished. At the modest price of what Lipchitz remembered as “ten francs per sitting and a little alcohol,” however, he persuaded Modigliani to work on the portrait for another two weeks in an effort to provide more financial assistance to his friend. Despite Modigliani’s exceptional talent, his work found a market only after his death in 1920, which was hastened by tuberculosis and his legendary bohemian lifestyle.",https://www.artic.edu/artworks/27987/jacques-and-berthe-lipchitz
itl_9,Guido Reni,Oil on canvas,Salome with the Head of Saint John the Baptist,"This painting depicts Salome as she receives the head of John the Baptist on a platter, the gruesome reward she chose for having pleased her stepfather, Herod, by performing a seductive dance. This episode from the New Testament had long been popular in Italian art, thanks to its combination of religiosity, violence, and eroticism. The most famous and successful Italian painter of his day, Guido Reni worked in Rome and then in Bologna, where his highly refined style and intensely spiritual subjects dominated. Despite its horrific subject matter, this unfinished work displays the graceful movement, delicate colors, and transparent paint application of Reni’s late style.",https://www.artic.edu/artworks/11434/salome-with-the-head-of-saint-john-the-baptist
itl_10,Giovanni Benedetto Castiglione,Monotype in black ink on ivory laid paper,The Creation of Adam,"Considered one of the most original and innovative Italian artists of the Baroque period, Giovanni Benedetto Castiglione literally separated light from darkness, creating form out of chaos in this work, his earliest known monotype. In a perfect match of medium and message, Castiglione, the Genoese artist credited with inventing the technique, used this new method to portray the central act of Genesis: the creation of man. He produced this electrifying image by subtracting the design from the inked surface of a copperplate with a blunt instrument, such as a stick or paintbrush handle, and then printing directly on a sheet of paper. Broad, angular strokes of white depict God emerging from a cloud, while thin, fluid lines extract the languid body of Adam from velvety blackness. Castiglione’s monotypes employ both this dark-ground technique, which naturally lends itself to dramatic and mysterious imagery, and the light-ground manner, in which the design is drawn in ink directly on a clean plate. Both processes yield only one fine impression. It was not until the nineteenth century that such versatile artists as Edgar Degas explored the monotype’s full potential.",https://www.artic.edu/artworks/105073/the-creation-of-adam
