ids,artists,mediums,titles,descriptions,urls
jp_1,Katsushika Hokusai,Color woodblock print; oban,"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series “Thirty-Six Views of Mount Fuji (Fugaku sanjūrokkei)”","Katsushika Hokusai’s much celebrated series, Thirty-Six Views of Mount Fuji (Fugaku sanjûrokkei), was begun in 1830, when the artist was 70 years old. This tour-de-force series established the popularity of landscape prints, which continues to this day. Perhaps most striking about the series is Hokusai’s copious use of the newly affordable Berlin blue pigment, featured in many of the compositions in the color for the sky and water. Mount Fuji is the protagonist in each scene, viewed from afar or up close, during various weather conditions and seasons, and from all directions.The most famous image from the set is the “Great Wave” (Kanagawa oki nami ura), in which a diminutive Mount Fuji can be seen in the distance under the crest of a giant wave. The three impressions of Hokusai’s Great Wave in the Art Institute are all later impressions than the first state of the design.",https://www.artic.edu/artworks/24645/under-the-wave-off-kanagawa-kanagawa-oki-nami-ura-also-known-as-the-great-wave-from-the-series-thirty-six-views-of-mount-fuji-fugaku-sanj%E7%AC%9Brokkei
jp_2,Tosa Mitsuoki,"Six-panel screen (one of pair); Ink, colors, gold leaf, and gold powder on silk",Autumn Maples with Poem Slips,"Japanese aristocrats engaged in the elegant custom of recollecting classical poetry while viewing spring and autumn foliage. In these delicate screens, premier court painter Tosa Mitsuoki meditated on the inevitable passage of beauty by depicting the melancholy hours after the departure of reveling courtiers. A cherry tree bursts into bloom on the right screen (seen here at top), while its mate displays the brilliant red and gold foliage of maples in autumn. Slips of poetry, called tanzaku, waft from the blossoming limbs, the lingering signs of a human presence. Courtiers (whose names are recorded in a seventeenth-century document) assisted Mitsuoki by inscribing the narrow strips with quotations of appropriate seasonal poetry from twelfth- and thirteenth-century anthologies. The screens were either commissioned by or given to Tofukumon’in (1607–1678), a daughter of the Tokugawa shogun who married the emperor Gomizunoo (1596–1680). In an era otherwise marked by increasing control of the feudal shogunate over imperial prerogatives, this royal couple encouraged a renaissance of courtly taste that nostalgically evoked the past glories of early medieval aristocratic life.",https://www.artic.edu/artworks/127644/autumn-maples-with-poem-slips
jp_3,,"Wood core, dry lacquer, traces of gold leaf",Seated Bodhisattva,"This rare and important sculpture represents a Buddhist bodhisattva, or bosatsu, an enlightened and compassionate being who postponed Buddhahood in order to help save others. Calm, stately, and full-bodied, the bosatsu is seated in a frontal, meditative pose; his gracefully held hands, raised midair, make a gesture of assurance. Buddhism, which originated in India with the teachings of the Buddha Sakyamuni, or Siddhartha Gautama (c. 563-c. 483 B.C.), was named the official religion of Japan at the beginning of the eighth century by the Emperor Shomu (701-56). This small, finely crafted lacquer figure is the only Buddhist sculpture outside Japan that is firmly attributed to the influential sculpture workshop of Todai-ji, the largest and most prestigious of the great state-sponsored Buddhist temples built during the Nara period. This sculpture represents a dramatic shift in Japanese sculptural tradition—a move away from the expensive, time-consuming technique of using lacquer (a resin extracted from the sap of a tree) over a temporary clay core that, once removed, left a sculpture that was completely hollow except for perhaps a wood bracing system. Here a sculpted wood core is overlaid with lacquer-soaked cloth. The innovative sculptors at the Nara temple modeled the wet and pliable surface of the cloth to create fine details such as facial features and jewelry. Finally the sculpture was gilt; traces of gold remain on the bodhisattva’s face and chest.",https://www.artic.edu/artworks/111380/seated-bodhisattva
jp_4,Kazuo Shiraga,Oil on canvas,Golden Wings Brushing the Clouds Incarnated from Earthly Wide Star (Chikatsusei Maunkinshi),"Shiraga Kazuo was one of the most widely known artists associated with the Gutai Art Association. Gutai (“concreteness” in Japanese) was formed in 1954 and swiftly became postwar Japan’s most significant avant-garde collective. In its manifesto the group advocated for an exuberant, ethically invested freedom of expression: “Gutai Art imparts life to matter.”Shiraga once described the world as a “splendid playground.” He sought an unmediated form of painting, soon abandoning the traditional brush in order to paint with his feet, swinging himself from ropes over sheets of paper placed on the floor. The earliest of these pioneering works were made as part of live performances, but from 1959 Shiraga continued his practice on canvas and within his studio. This 1960 painting demonstrates the range of simultaneously sensuous and dynamic effects the artist could achieve through his singular method — slick, muscular smears of brighter and darker reds and oranges contrast with vigorous insertions of deep blue as well as with a fringe of more atmospheric stains of color. The title refers to the celebrated fourteenth-century Chinese novel Shuihu zhuan (Water Margin), which follows the feats of outlaw Song Jiang and his band of accomplices.",https://www.artic.edu/artworks/220272/golden-wings-brushing-the-clouds-incarnated-from-earthly-wide-star-chikatsusei-maunkinshi
jp_5,Suzuki Harunobu,Color woodblock print; chuban,"Evening Snow on a Floss Shaper (Nurioke no bosetsu), from the series “Eight Views of the Parlor (Zashiki hakkei)”","The famous series Eight Views of the Parlor was produced in 1766, around the time of the emergence of full-color prints in Japan. The series contains eight prints that were housed together in a fanciful wrapper, all of which are now in the Art Institute’s collection. These scenes present visual puns based on well-known themes of the Xiao and Xiang Rivers in China, each of which has its own poetic title. For Evening Snow, Suzuki Harunobu depicted silk floss as snow and the floss shaper as the mountain rather than showing snow-covered hills.Such witty visual riddles would have been appreciated by the audience of these prints—wealthy, well-educated townsmen who participated in poetry circles. One such figure was Ōkubo Jinshirō Tadanobu, whose pseudonym was Kyosen. It is thought that he produced this set, engaging Harunobu’s services as well as those of the printer. In fact, this image contains Kyosen’s handwritten signature, leading scholars to believe that the Art Institute’s set is the first edition. Sets with Harunobu’s signature exist in other collections.",https://www.artic.edu/artworks/88977/evening-snow-on-a-floss-shaper-nurioke-no-bosetsu-from-the-series-eight-views-of-the-parlor-zashiki-hakkei
jp_6,Yamakawa Shûhô,Two-panel screen; ink and color on silk,Relaxing in the Shade,"Here, two beauties, or moga—short for modan gaaru, or modern girls—sit on the beach, dressed in the latest sportswear and enjoying their ample leisure time. A delicately scalloped gray shape encircles the two friends, and we soon realize that it is the shadow cast by an unseen umbrella.The woman on the right in particular stares confrontationally, as though daring us to gaze at her. She wears a sheer blouse, and her bathing suit and arms are slightly visible beneath it. She has a Western-style bob haircut and one of the newfangled permanent waves popular in the 1930s. Her friend lounges in a sleeveless jumpsuit. At the height of fashion for the beach are their stripes, seen in their clothing and accessories, and even carried into the way the artist, Yamakawa Shūhō, has rendered their hair. They are surrounded by their accessories—a broad-rimmed hat, a ukulele, and a purse shaped like a volleyball with a handle.The woman on the right has been identified as Yamamoto Chiyoko, the daughter of a prominent Tokyo family and one of Shūhō’s students. One day after class, she was to meet a friend, Ota Misuzu, for an excursion to a coastal area close to Tokyo. The artist accompanied them and made sketches for this final composition.",https://www.artic.edu/artworks/156474/relaxing-in-the-shade
jp_7,Ike Taiga,Hanging scroll; ink on paper,Group Pilgrimage to the Jizo Nun,"Ike Taiga was a revolutionary known for revitalizing Japanese painting traditions in the eighteenth century. He infused the Chinese-inspired ink painting (nanga) that was gaining favor among intellectuals in Kyoto with a purely Japanese aesthetic and humor. Group Pilgrimage to the Jizo Nun is a snapshot of contemporary life in Japan presented from Taiga’s unique perspective. The print depicts pilgrims making offerings to the Jizo nun, a holy woman believed to be able to communicate with the bodhisattva Jizo, who had the power to save souls in the afterlife.Group Pilgrimage contains an inscription relating the story of the Jizo nun. Taiga was a master calligrapher, poet, and seal carver and was well versed in all forms of writing, from ancient seal script to cursive kana. Here he rendered the inscription in a cursive, informal style very much in keeping with the spontaneity of the painting itself. Taiga was also renowned for his use of finger painting and other odd techniques. Although opinions vary as to whether or not this work is a finger painting, it is clear that Taiga did not use a traditional brush. It seems likely that this could be a “paper twist painting,” in which the artist worked with scraps of twisted paper charged with ink.",https://www.artic.edu/artworks/185222/group-pilgrimage-to-the-jizo-nun
jp_8,Tōshūsai Sharaku,Color woodblock print; oban,The actor Bando Mitsugoro II as Ishii Genzo,"Almost nothing is known of the life of Tōshūsai Sharaku, whose entire oeuvre of bold portraits of Kabuki actors was produced during a ten-month period in 1794–95. Sharaku’s prints are frank and piercing, combining satire with decorative power. His aggressive style is made all the more dramatic by his use of a dark mica background, which throws the silhouette of the posturing actor into strong relief. Depicted here is the actor Bandō Mitsugorō portraying the character Ishii Genzō at the peak dramatic moment of the play The Iris Sōga of the Bunroku Era (Hanaayame Bunroku Sōga). With a look of intense fury, Genzō draws his sword to aid his two brothers-in-law in avenging their father’s murder. The play is based on an event that occurred in 1701 that disrupted the civil order of the Tokugawa shogunate and scandalized the population of Edo. Commentary on contemporary issues was discouraged by the Japanese government, however, so the play was disguised as a literary recounting of a famous twelfth-century act of filial revenge that occurred in the Sōga family. Unlike the elite and highly stylized Noh theater, Kabuki was a popular form of drama that reflected and catered to the tastes and pleasures of the emerging merchant class.",https://www.artic.edu/artworks/89856/the-actor-bando-mitsugoro-ii-as-ishii-genzo
jp_9,Tawaraya Sôtatsu,"Six-panel screen; ink, color, and gold on paper",Maize and Cockscombs,"During the Edo period, the prosperity and political unification of Japan under the ruling Tokugawa shoguns led to the emergence of a magnificent Japanese decorative style characterized by a love of bold patterns and bright colors. This new style was supported by the military class, a disenfranchised aristocracy, and a thriving class of merchants and entrepreneurs. The surviving half of an original pair, this splendid screen elegantly embodies both the techniques of ancient court painters and the curiosity and confidence so prevalent in the Edo period. Bursting with sensual fullness, the maize and cockscombs are rendered with the accuracy of a botanical drawing, a testimony to the era’s interest in natural science. The appearance of maize, a grain not native to Japan, indicates a willingness to assimilate new subject matter on the part of Edo artists and patrons.",https://www.artic.edu/artworks/11272/maize-and-cockscombs
jp_10,,"Handscroll; ink, colors, and gold on paper",Legends of the Yūzū Nembutsu Sect,"This handscroll illustrates the foundation of the Yūzū Nembutsu sect of Japanese Buddhism. A priest named Ryōnin (1072–1132) founded the sect in the Heian period (794–1185). He taught that individuals could attain rebirth in the Western paradise of Amida Buddha, the primary buddha of the Pure Land branch of Buddhism, merely by chanting his name. “Yuzu Nembutsu” means “chanting [Amida’s] name in communion”—a reference to the belief that chanting by one person would affect all other beings.This scene is the culmination of the scroll and shows different faiths coming together in support of Ryōnin.",https://www.artic.edu/artworks/56731/legends-of-the-y%E7%AC%9Bz%E7%AC%9B-nembutsu-sect
jp_11,,"Silk, 4:1 satin damask weave (rinzu); embroidered with silk and gold-leaf-over-lacquered-paper-strip-wrapped silk in satin stitches; laid work and couching, and padded couching; lined with silk, plain weave",Furisode,"This furisode, a long-sleeved garment worn by children and unmarried women on special occasions, belonged to a family whose crest was the tachibana, the flower of the Mandarin orange. Made of rinzu (a soft, lustrous silk), it probably was used as an uchikake (outer coat). The red fabric is woven in a pattern that combines geometric and floral forms. A blossoming plum tree embroidered with gold and white silk thread spreads its branches from hem to shoulder. The carefully embroidered blooming tree shows the influence of Western art on Japanese design. Needlework typical of this period was used to portray illusionistically the contours of the tree trunk. First the edges of the trunk were padded with a heavy thread; then, over this padding, gold-wrapped thread was couched with red silk thread.",https://www.artic.edu/artworks/150739/furisode
jp_12,,Glazed stoneware,Oribe-Type Ewer,"Furuta Oribe (1544–1615) was a military general–turned–tea aesthete whose style of presentation at tea gatherings catered to the samurai class and rulers of seventeenth-century Japan. In contrast to his predecessors, Oribe preferred tea wares that were bold and eccentric rather than subtle and rustic. He was the first to recognize the beauty of artfully misshapen ceramics for use in tea gatherings. Ewers such as this were employed as water containers during the meal that preceded the tea service. Their distinctive glaze contains copper, which turned green in the firing process. This glaze, along with slightly off-kilter or distorted shapes, became trademarks of Oribe ware produced in the Mino region (now Gifu Prefecture) of Japan.This vessel features drawings of plum blossoms, wheels, a hexagonal tortoiseshell pattern, and a lattice, all done in an underglaze iron wash. This is typical of such wares, which most often do not have a single decorative theme, but rather depict a mélange of almost abstract motifs akin to the popular patterning on textiles of the period.",https://www.artic.edu/artworks/9512/oribe-type-ewer
jp_13,Kitagawa Utamaro,Color woodblock print; hashira-e,"Komurasaki of the Miuraya and Shirai Gompachi (Miuraya Komurasaki, Shirai Gompachi)",,https://www.artic.edu/artworks/7624/komurasaki-of-the-miuraya-and-shirai-gompachi-miuraya-komurasaki-shirai-gompachi
jp_14,,silk and gilt-paper; compound satin weave,Kesa,,https://www.artic.edu/artworks/793/kesa
jp_15,School of Myochin,Wrought iron,Articulated Dragon,,https://www.artic.edu/artworks/129/articulated-dragon
jp_16,Utagawa Hiroshige,Color woodblock print; chuban,"Hamamatsu, from the series “Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi),” also known as the Tokaido with Poem (Kyoka iri Tokaido)",,https://www.artic.edu/artworks/4371/hamamatsu-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsugi-also-known-as-the-tokaido-with-poem-kyoka-iri-tokaido
jp_17,,"plain compound twill, double weave; silk and gilt-paper",Kesa,,https://www.artic.edu/artworks/795/kesa
jp_18,Utagawa Hiroshige,Color woodblock print; chuban,"Mitsuke: Ferries Crossing the Tenryu River (Mitsuke, Tenryugawa funawatashi), from the series “Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi),” also known as the Tokaido with Poem (Kyoka iri Tokaido)",,https://www.artic.edu/artworks/4368/mitsuke-ferries-crossing-the-tenryu-river-mitsuke-tenryugawa-funawatashi-from-the-series-fifty-three-stations-of-the-tokaido-tokaido-gojusan-tsugi-also-known-as-the-tokaido-with-poem-kyoka-iri-tokaido
jp_19,Suzuki Harunobu,Color woodblock print; hashira-e,Beauty Under an Umbrella in the Snow,,https://www.artic.edu/artworks/22935/beauty-under-an-umbrella-in-the-snow
