ids,artists,mediums,titles,descriptions,urls
usa_1,Alma Thomas,Acrylic on canvas,Starry Night and the Astronauts,"After decades as a representational painter, in her seventies Alma Thomas turned to abstraction, creating shimmering, mosaic-like fields of color with rhythmic dabs of paint that were often inspired by forms from nature. The artist had been fascinated with space exploration since the late 1960s, and her later paintings often referenced America’s manned Apollo missions to the moon. Although she had never flown, Thomas began to paint as if she were in an airplane, capturing what she described as shifting patterns of light and streaks of color. “You look down on things,” she explained. “You streak through the clouds so fast… . You see only streaks of color.”Starry Night and the Astronauts evokes the open expanse and celestial patterns of a night sky, but despite its narrative title, the work could also be read as an aerial view of a watery surface, playing with our sense of immersion within an otherwise flat picture plane. The viewer is immersed not only in the sense of organic expanse that this painting achieves, however, but also in an encounter with Thomas’s process: the surface here is clearly constructed stroke by stroke. Meanwhile, the glimpses of raw canvas between each primary-colored mark seem as vivid as the applied paint itself—almost as if the composition were backlit. Thomas relied on the enlivening properties of color throughout her late-blooming career. “Color is life,” she once proclaimed, “and light is the mother of color.” This painting was created in 1972, when the artist was eighty. In the same year, she became the first African American woman to receive a solo exhibition at a major art museum, the Whitney Museum of American Art in New York City.",https://www.artic.edu/artworks/129884/starry-night-and-the-astronauts
usa_2,Kerry James Marshall,Acrylic on paper mounted on canvas,Many Mansions,"Many Mansions is the first in Kerry James Marshall’s series of five large-scale paintings depicting public housing projects in Chicago and Los Angeles such as Rockwell Gardens, Wentworth Gardens, or, as in Many Mansions, Stateway Gardens. Struck by the absurdity of the term “garden” to describe these failed solutions to low-income housing, Marshall was inspired to represent the profound contradictions of living in such an environment. Many Mansions is filled with ironic and startling juxtapositions of the real and artificial—from the unnaturally cheerful landscape to the three haunting, ebony-skinned figures dressed in nostalgic Sunday best. The title of the painting, visible on the red ribbon above, is a variation on Christ’s oft-quoted remark found in John [14:2]: “In my Father’s house there are many mansions.”",https://www.artic.edu/artworks/137125/many-mansions
usa_3,Joan Mitchell,Oil on linen,City Landscape,"Although influenced by Abstract Expressionist artists in New York in the early 1950s, Joan Mitchell did not prioritize self-expression: her often exuberant abstractions were “about landscape, not about me,” she once explained. Mitchell painted large, light-filled canvases animated by loosely applied skeins of bright color—here infused with the energy of a large metropolis.The title suggests a relationship between the painting’s network of pigments and the nerves or arteries of an urban space. The sense of spontaneity conveyed in City Landscape, however, belies Mitchell’s methods. Unlike many of her contemporaries, who were dubbed “action painters,” Mitchell worked slowly and deliberately. “I paint a little,” she said. “Then I sit and look at the painting, sometimes for hours. Eventually, the painting tells me what to do.”",https://www.artic.edu/artworks/86385/city-landscape
usa_4,Richard Hunt,Steel,Hero Construction,"Richard Hunt created Hero Construction in 1958, one year after graduating from the School of the Art Institute of Chicago. The sculpture is composed of found objects—old pipes, bits of metal, and automobile parts—that the artist discovered in junkyards and on the street. Using a torch like a paintbrush, Hunt welded these elements into a form that is abstract yet recognizable.Hunt was fascinated with mythology, and Hero Construction can be related to other sculptures past and present, from ancient statues of Greek heroes to modern monuments of statesmen. The modest but monumental stance of the figure suggests a contemporary hero who maintains strength in the face of the uncertainties and dangers of the present age.",https://www.artic.edu/artworks/8633/hero-construction
usa_5,Edward Hopper,Oil on canvas,Nighthawks,"About Nighthawks Edward Hopper recollected, “unconsciously, probably, I was painting the loneliness of a large city.” In an all-night diner, three customers sit at the counter opposite a server, each appear to be lost in thought and disengaged from one another. The composition is tightly organized and spare in details: there is no entrance to the establishment, no debris on the streets. Through harmonious geometric forms and the glow of the diner’s electric lighting, Hopper created a serene, beautiful, yet enigmatic scene. Although inspired by a restaurant Hopper had seen on Greenwich Avenue in New York, the painting is not a realistic transcription of an actual place. As viewers, we are left to wonder about the figures, their relationships, and this imagined world.",https://www.artic.edu/artworks/111628/nighthawks
usa_6,Georgia O'Keeffe,Oil on canvas,Blue and Green Music,"Around 1920 Georgia O’Keeffe painted a number of oils exploring, as she later recalled, “the idea that music could be translated into something for the eye.” In Blue and Green Music, O’Keeffe’s colors and forms simultaneously suggest the natural world and evoke the experience of sound. She was drawn to the theories of the Russian Expressionist painter Vasily Kandinsky, who, in his 1912 text Concerning the Spiritual in Art, argued that visual artists should emulate music in order to achieve pure expression free of literary references.",https://www.artic.edu/artworks/24306/blue-and-green-music
usa_7,Grant Wood,Oil on Beaver Board,American Gothic,"In American Gothic, Grant Wood directly evoked images of an earlier generation by featuring a farmer and his daughter posed stiffly and dressed as if they were, as the artist put it, “tintypes from my old family album.” They stand outside of their home, built in an 1880s style known as Carpenter Gothic. Wood had seen a similar farmhouse during a visit to Eldon, Iowa.When it was exhibited at the Art Institute in 1930, the painting became an instant sensation, its ambiguity prompting viewers to speculate about the figures and their story. Many understood the work to be a satirical comment on midwesterners out of step with a modernizing world. Yet Wood intended it to convey a positive image of rural American values, offering a vision of reassurance at the beginning of the Great Depression.",https://www.artic.edu/artworks/6565/american-gothic
usa_8,Willem de Kooning,Oil on canvas,Excavation,"Willem de Kooning was a central figure in Abstract Expressionism, an art movement that espoused the painterly actions of the artist as a sign of his or her emotions. De Kooning completed Excavation in June 1950, just in time for it to be exhibited in the twenty-fifth Venice Biennale. His largest painting up to that date, the work exemplifies the Dutch-born innovator’s style, with its expressive brushwork and distinctive organization of space into sliding planes with open contours. According to the artist, the point of departure for the painting was an image of women working in a rice field in Bitter Rice, a 1949 Neorealist film by Italian director Giuseppe de Santis. The mobile structure of hooked calligraphic lines defines anatomical parts—bird and fish shapes, human noses, eyes, teeth, necks, and jaws—that seem to dance across the painted surface, revealing the particular tension between abstraction and figuration that is inherent in de Kooning’s work. The original white pigment has yellowed over the years, diluting somewhat the flashes of red, blue, yellow, and pink that punctuate the composition. Aptly titled, the painting reflects de Kooning’s technically masterful painting process: an intensive building up of the surface and scraping down of its paint layers, often for months, until the desired effect was achieved.",https://www.artic.edu/artworks/76244/excavation
usa_9,Georgia O'Keeffe,Oil on canvas,Cow’s Skull with Calico Roses,"Georgia O’Keeffe collected this cow’s skull in New Mexico during the summer of 1930, when a drought had devastated the Southwest, and many animal skeletons could be found in the desert. She was captivated by the stark elegance of the bones and shipped some back to New York so she could paint them the following year. She noted, “To me they are as beautiful as anything I know… . The bones seem to cut sharply to the center of something that is keenly alive on the desert.” O’Keeffe’s inclusion of the calico fabric roses—which were used to decorate graves in New Mexico—further evokes questions of life, death, and mortality.",https://www.artic.edu/artworks/61428/cow-s-skull-with-calico-roses
usa_10,Georgia O'Keeffe,Oil on canvas,Sky above Clouds IV,"Painted in the summer of 1965, when Georgia O’Keeffe was 77 years old, this monumental work culminates a series inspired by the artist’s experiences as an airplane passenger during the 1950s. Working in Abiquiu, New Mexico, O’Keeffe began around 1963 to capture the endless expanses of clouds she had observed from airplane windows during trips all over the world. Beginning with a relatively realistic depiction of small white clouds on a three-by-four-foot canvas, she progressed to more stylized images of the motif on larger surfaces. O’Keeffe wrote:“I painted a painting eight feet high and twenty-four feet wide—it kept me working every minute from six a.m. till eight or nine at night as I had to be finished before it was cold—I worked in the garage and it had no heat—Such a size is of course ridiculous but I had it in my head as something I wanted to do for a couple of years.”In 1970 Sky above Clouds IV was scheduled to be included in a retrospective of O’Keeffe’s work at the Whitney Museum of American Art, New York, the Art Institute of Chicago, and the San Francisco Museum of Art. After being shown in New York and Chicago, the painting was determined to be too large to enter the doors of the museum in San Francisco. It thus remained on loan to the Art Institute for more than a decade, while the artist and public-minded collectors of her art arranged for it to join the museum’s permanent collection.The special relationship between O’Keeffe and the Art Institute began in 1905, when she enrolled as a student at the School of the Art Institute. Her first museum retrospective was organized here in 1943. Later, as the executor for the estate of her husband, the pioneering American photographer and art dealer Alfred Stieglitz, O’Keeffe presented the Art Institute with an important group of modernist works, including a number of her own, many of which are on view in the galleries of American art. She continued to make significant additions to this bequest until her death, at age 98, in 1986.",https://www.artic.edu/artworks/100858/sky-above-clouds-iv
usa_11,Andy Warhol,"Acrylic, silkscreen ink, and pencil on linen",Mao,"The most influential of Pop artists, Andy Warhol cast a cool, ironic light on the pervasiveness of commercial culture and contemporary celebrity worship. Early in his career, he began to utilize the silk-screen process to transfer photographed images to canvas, creating multiple portraits of celebrities including Marilyn Monroe, Elvis Presley, and Jacqueline Kennedy, as well as duplicated images of mass-produced products such as Campbell’s soup cans and Coca-Cola bottles. In this example from his Mao series, Warhol melded his signature style with the scale of totalitarian propaganda to address the cult of personality surrounding the Chinese ruler Mao Zedong (1893–1976). Nearly fifteen feet tall, this towering work mimics the representations of the political figure that were ubiquitously displayed throughout China. Warhol’s looming portrait impresses us with the duality of its realistic qualities and its plastic artificiality. In contrast to the photographic nature of the image, garish colors are applied to Mao’s face like makeup. The gestural handling of color in the portrait shows Warhol at his most painterly.",https://www.artic.edu/artworks/47149/mao
usa_12,Peter Blume,Oil on canvas,The Rock,"A startling juxtaposition of images, The Rock depicts a shattered red rock resting on top of a base that is being demolished by workers below. Peter Blume labored for years to complete this painting, which was commissioned in 1939 by the Edgar Kaufmann family for Fallingwater, their Frank Lloyd Wright–designed home in Pennsylvania. Although the complex imagery resists easy interpretation, it may point to devastation and reconstruction, reflecting the turbulence of World War II and its aftermath. In the end, The Rock proved too large for Fallingwater and it was never displayed there.",https://www.artic.edu/artworks/56682/the-rock
